;Unnamed: 0;_id;aut;author_gender;created_at;full_text;id_str;in_reply_to_status_id;in_reply_to_tweet;in_reply_to_user_id;is_sexist;msg;person_1;person_2;receiver_gender;retweet_count;sentiment_1;sentiment_2;sexist_1;sexist_2;user_id
12;16515;5a9934340842191684e81f9d;1;1;Thu Feb 08 18:38:04 +0000 2018;@JuanMa_Moreno Si un votante de centro o conservador vota a Ciudadanos estará abriendo la puerta a un gobierno de coalición entre Ciudadanos y el PSOE con la abstención de Podemos: sería la mayor estupidez cometida por el centro-derecha español en toda su historia.;961670482142597120;961646662191144960;;278955879.0;;reply;1.0;3.0;0;4;0;0;0;0;191410401
13;19323;5a9934350842191684e8b5b3;1;-1;Sun Feb 11 18:32:48 +0000 2018;@uxuebarkos Las dos foces que tiene Navarra son hermosas y imaginarme que Uxue este en las dos alegra más la foto;962756318749708288;962656535242596353;;71216725.0;;reply;3.0;1.0;0;0;0;0;0;0;893534232299098112
15;12972;5a9c74630842190dbf4fc184;1;-1;Sat Dec 30 21:22:31 +0000 2017;@susanadiaz destaca la estabilidad política y el crecimiento económico en su mensaje de Fin de Año   https://t.co/Zw3bFGCXjn https://t.co/cxyUYvBvlP;947216351881547777;None;;911000017.0;;reply;3.0;1.0;-1;0;0;0;0;0;85804066
16;18493;5a9934330842191684e78de8;1;1;Wed Jan 24 19:23:25 +0000 2018;@alesanper @JoseManuel_Lop Esa forma es inaceptable;956246077224648704;956092766555136000;;267447988.0;;reply;3.0;4.0;0;0;0;0;0;0;1527285121
17;16685;5a9c74630842190dbf4f7f9b;1;-1;Sat Dec 16 11:31:05 +0000 2017;@inaki_iriarte 👏👏👏;941994083152728064;;;;;mention;2.0;4.0;0;0;0;0;0;0;1006901215
18;4982;5a9c74630842190dbf503792;1;1;Mon Jan 15 07:48:03 +0000 2018;@PatriciaReyesCs ¿Que es liberalismo progresista?;952809590382628868;;;;;mention;1.0;2.0;0;0;0;0;0;0;793920865872265217
19;31027;5a9c74640842190dbf527822;1;-1;Thu Feb 22 22:42:29 +0000 2018;@JMarquezFand Entonces la lección gratis de patriotismo de la Marta , no cuenta como mérito? 😅;966805421641097216;;;;;mention;3.0;4.0;0;0;0;0;0;0;2228732027
20;58469;5a9c74640842190dbf5290d4;1;-1;Thu Feb 22 14:40:28 +0000 2018;@isaserras Tú me representas y es un orgullo compartir contigo más de cuatro años ya luchando de la manera correcta y honesta. Gracias! Y gracias a @MiguelUrban @Femenmovimiento;966684118095400960;966593994783420416;;529634658.0;;reply;4.0;3.0;-1;3;0;0;0;0;782374212
21;1773;5a9934320842191684e74c98;1;1;Thu Jan 18 22:17:04 +0000 2018;@emilio_delrio La respuesta del #VerbaVolant: Enero debe su nombre al dios Jano (en latín Janus). Saludos del IES Luis Cobiella Cuevas, en La Palma (Canarias).;954115451277201410;;;;;mention;4.0;1.0;0;0;0;0;0;0;451625587
22;61117;5a9934360842191684e92fa4;1;-1;Sat Feb 24 16:50:02 +0000 2018;@InesArrimadas Imagina t només per apoiar un dret ciutadà. Més repressió, segur promoguda per l'estat putrepacte Espanyol. Vergonyós!!!!;967441501826449408;967104522492547074;;552561770.0;;reply;2.0;3.0;0;0;0;0;0;0;1528544504
23;16700;5a9934300842191684e61419;1;-1;Fri Dec 22 09:44:36 +0000 2017;@patxileuza No se, no se;944141612761931776;;;;;mention;2.0;4.0;0;0;0;0;0;0;4091016405
24;18430;5a9c74630842190dbf50f931;1;-1;Sun Jan 21 11:55:38 +0000 2018;@LorenaRuiz_H Q pena si viviera en Madrid allí estaría;955046224608006144;955018306133659648;;2525943596.0;;reply;2.0;3.0;0;0;0;0;0;0;4441351469
25;18016;5a9c74640842190dbf519102;1;1;Sun Feb 04 11:35:15 +0000 2018;@psacera Normal, la están bajando el precio para sus amiguetes, que cuando se hagan con ellas, subirán los precios y no harán nada.;960114523519832064;960090488740220928;;28373425.0;;reply;4.0;2.0;-1;0;0;0;0;0;914428008743755777
26;10328;5a9934310842191684e675eb;1;-1;Sun Jan 07 00:23:08 +0000 2018;@rauldiaz_ Es lo que tiene estar en alertas roja y naranja por nieve y movilizar tan solo 11 quitanieves y de aquella manera...espero que pronto salga Ceniceros con el 🚜;949798519547875329;;;;;mention;4.0;1.0;0;0;0;0;0;0;112223206
27;3637;5a9c74630842190dbf503251;1;1;Wed Jan 17 09:19:54 +0000 2018;Aplaude @EdeCastro que se vaya a estudiar la entrada de Melilla en la Unión Aduanera y espera que “no sea un ataque de celos” por el hecho de que Ceuta se haya adelantado en esta cuestión y sea una “falsa promesa” https://t.co/Rfz7U9FhU1;953557480084328448;;;;;mention;4.0;1.0;0;1;0;0;0;0;1125873174
28;21791;5a9934320842191684e70db3;1;1;Wed Jan 17 18:20:03 +0000 2018;@ierrejon Errejón, deberías estar dirigiendo podemos, por este discurso y por esos ideales es por lo que voté a podemos.Hace falta un revulsivo ya.;953693414696026113;953609797466820613;;482389606;;reply;4.0;3.0;0;0;0;0;0;0;410192667
29;8333;5a9934310842191684e67498;1;1;Sat Jan 06 13:16:57 +0000 2018;@Darvilvil Oleeee!!! Que aproveche!;949630871082078208;;;;;mention;1.0;4.0;0;0;0;0;0;0;397850613
30;13623;5a9c74640842190dbf520af7;1;1;Thu Feb 15 21:23:17 +0000 2018;@jorditurull Ho aconseguirem @jorditurull   ✊✊ https://t.co/WwHeKPdCeQ;964248773437415424;964146043943378945;;1070697151.0;;reply;1.0;2.0;1;0;0;0;0;0;388380032
31;52383;5a9c74640842190dbf528334;1;-1;Sat Feb 24 16:26:57 +0000 2018;"@AITOR_ESTEBAN Sabes que son presos políticos cuando decir que hay presos políticos se considera ""un grave ataque""";967435689699790848;;;;;mention;1.0;3.0;0;0;0;0;0;0;3468902956
32;15405;5a9c74640842190dbf5211ed;1;1;Thu Feb 15 06:53:40 +0000 2018;@AnnaGaSabate MOLTA FORÇA !;964029929812717568;963703465603104768;;923751175.0;;reply;1.0;4.0;-1;0;0;0;0;0;2545944737
33;43341;5a9c74640842190dbf527e9e;1;1;Wed Feb 21 06:31:05 +0000 2018;@SSumelzo Gracias!! Buenos dias!!;966198573833576452;;;;;mention;3.0;4.0;0;0;0;0;0;0;2701757431
34;3258;5a9934310842191684e6c54e;1;-1;Tue Jan 16 10:15:47 +0000 2018;▶️@JaumeFont_ glosa al fogueró de Sa Negreta de sa Pobla https://t.co/oJfvDUgPG8;953209156974141441;;;;;mention;2.0;4.0;0;1;0;0;0;0;194178895
35;16139;5a9c74630842190dbf506327;1;1;Mon Jan 15 21:06:52 +0000 2018;"@ximopuig President, el terme ""separatisme"" és molt lleig. Es nota que vosté admira Broseta i els de SCC. Seguirem combatent-vos. La lluita continua";953010618977734662;952887471104282624;;280405370;;reply;1.0;2.0;0;1;0;0;0;0;761397786
36;11481;5a9c74640842190dbf51777b;1;-1;Wed Feb 07 15:17:16 +0000 2018;@jsalvadorduch @directe Tranquils que no li passarà res. Els indults prohibits serán nomes per sedició...;961257561260482562;961251978541195265;;326105216.0;;reply;1.0;4.0;1;0;0;0;0;0;272632823
37;3098;5a9934320842191684e751c5;1;1;Wed Jan 24 16:50:24 +0000 2018;@GLlamazares No quieren que vuelva Alguien a quien pretenden arrestar... La justicia más politizada que Nunca, Aunque tu lo niegues.;956207570464788481;;;;;mention;1.0;2.0;0;0;0;0;0;0;516770308
40;19159;5a9c74640842190dbf519579;1;-1;Thu Feb 01 21:32:35 +0000 2018;@EstherRuizCs @Cs_Madrid Tú, fuiste al funeral de Diana Quer? @Albert_Rivera fue al funeral ? Porque en la iglesia de Cana de Pozuelo no cabía un alfiler. Tú presi vive a 5 minutos. A esto me refiero.  No seas demagoga por favor Raquel. En la vida te mojas o no te mojas.;959177684105531394;959174137737596933;;270058545.0;;reply;4.0;2.0;-1;0;0;0;0;0;460363672
41;69847;5a9c74640842190dbf52bd46;1;-1;Sat Feb 17 22:09:06 +0000 2018;@pbustinduy Alarmante que la historia reciente europea no se divulgue en todos los medios La ignorancia es terrible;964985082699304960;964984380149108742;;597499972.0;;reply;3.0;4.0;1;0;0;0;0;0;282136338
42;56615;5a9c74640842190dbf528996;1;1;Thu Feb 22 12:11:46 +0000 2018;@mjsanchezrubio Me puede mostrar un ejemplo? Si no es capaz de demostrarlo CÁLLESE. y de paso aplíquese el cuento y mejore la Sanidad andaluza, que da pena como la tenéis.;966646694745182209;966587680325849088;;71510899.0;;reply;4.0;1.0;0;0;0;0;0;0;712569945998098432
43;45722;5a9c74640842190dbf527fad;1;1;Sat Feb 17 06:55:55 +0000 2018;@Mikele_V Querido hermano Miguel, veo que estás entrando en la buena senda y poco a poco te acercas al lugar que debes. Cuando llegues a Burgos, junto a Mercadona, verás la plaza e iglesia de Escrivá de Balaguer, allí te están esperando…bueno, en el resto de Burgos, también.;964755272140050432;;;;;mention;1.0;2.0;0;0;0;0;0;0;223263547
44;2185;5a9934330842191684e7e7a3;1;1;Thu Feb 01 08:26:36 +0000 2018;@Irenirima Los #BomberosForestales son nuestro batallón de choque frente a los efectos del #CambioClimático. Son héroes que protegen los bosques que garantizan que nuestros hijos e hijas puedan seguir respirando aire limpio.;958979885246177281;;;;;mention;4.0;2.0;0;0;0;0;0;0;3293235461
45;15460;5a9934310842191684e68265;1;-1;Sun Dec 31 19:13:21 +0000 2017;@Clara_Serra_ Y seguiré con todas mis fuerzas. Ni una página en blanco. Siempre negro sobre blanco para seguir denunciar el machismo. Un abrazo compañera.;947546234029518849;947544667737985032;;1015610418.0;;reply;1.0;3.0;-1;0;0;0;0;0;326912627
46;15582;5a9c74650842190dbf52f947;1;1;Sun Mar 04 12:56:26 +0000 2018;@Pablo_Iglesias_ Todo el poder esta en la sombra, los fantasmas no se dejan atrapar. Casa Real, militares y servicios secretos y sus cloacas, hacen el resto. Imposible cambiar nada a la vista está desde lo atado y bien atado y su continuismo, con los pactos de la Moncloa y otros como de ALCÀSSER;970281817478746112;;;;;mention;4.0;2.0;0;0;0;0;0;0;3028402965
47;25217;5a9c74630842190dbf5113b4;1;-1;Fri Jan 19 13:30:50 +0000 2018;4,4M€ procedents d'inversions estatutàries del 2011 que hem salvat gràcies a la negociació de @CatalinaClader1 i @HisendaiAAPP_IB. Sense aquestes gestions hauríem perdut els doblers a causa de la desídia i mala gestió del Partit Popular. https://t.co/WQNIzdohPJ;954345407404040192;954345112288530432;;466593375;;reply;2.0;1.0;0;15;0;0;0;0;466593375
48;62914;5a9934360842191684e936a9;1;1;Thu Feb 22 16:55:35 +0000 2018;@JorgeBellver @MJFSanSegundo El debate de la 1. Visualice a partir del minuto 54 y 40 segundos. Un saludo. @debatedela1_tve https://t.co/9vqXwdOyyI;966718123180285954;966716855896412161;;270917849.0;;reply;2.0;1.0;1;0;0;0;0;0;173633190
49;4351;5a9934350842191684e8fd23;1;1;Mon Feb 19 12:41:27 +0000 2018;@rodrigosanhar Muy bien Sr.Consejero, los puntos de Unión, entre los PUEBLOS, nos hace más fuertes.🍀🌹👏👍;965567001090551808;;;;;mention;4.0;1.0;0;0;0;0;0;0;2979722902
50;21870;5a9934340842191684e83488;1;1;Tue Feb 06 07:48:02 +0000 2018;@susanabeltranga @elperiodico Otra vez forzarán el Estatut con una mayoríaría absoluta cuando para hacer un cambio de esta magnitud se necesite reforzada;960782119063703552;960778935440207873;;483990093.0;;reply;2.0;1.0;-1;0;0;0;0;0;91847830
51;13187;5a9934320842191684e6ec17;1;1;Sat Jan 13 23:34:33 +0000 2018;"@Noemi_delaCalle Enhorabuena por tu trabajo Noemí, ésa es la política con mayúsculas, la que se hace para la gente. ""By the people, with the people and for the people...."". Barack Obama.";952323008412217344;925267989624180736;;245392058;;reply;2.0;3.0;0;1;0;0;0;0;257053584
52;918;5a9c74630842190dbf5027b2;1;1;Tue Jan 16 10:06:42 +0000 2018;.@SerranoAlfonso: “El Gobierno de Cifuentes demuestra con hechos su compromiso con las familias numerosas” https://t.co/iXFopKEm6R;953206870675730433;;;;;mention;1.0;3.0;0;1;0;0;0;0;3870291795
54;7554;5a9c74650842190dbf52f5c9;1;1;Wed Feb 28 23:31:25 +0000 2018;@lidiaguinart ya puestos, ¿qué le parecería presentar (como diputada del primer partido de la oposición) una propuesta para que se destinara un cupo especial de becas para que más mujeres accedieran a carreras de ciencias?;968992064217206784;;;;;mention;3.0;4.0;0;0;0;0;0;0;32447190
55;1941;5a9934330842191684e7e6af;1;1;Thu Feb 08 18:38:22 +0000 2018;@agarzon Porqué eres tan resentido, que es que no hay nada,nada que te parezca bien , ¡ coño !, Vete de España,leche;961670555664637952;;;;;mention;4.0;2.0;0;0;0;0;0;0;828173782636515328
56;2840;5a9c74640842190dbf51e0d8;1;1;Wed Feb 14 21:48:05 +0000 2018;@mgabriela_serra DIGNITAT ! 👏👏👏;963892628604452865;;;;;mention;2.0;1.0;0;0;0;0;0;0;3004326281
57;21356;5a9c74630842190dbf51049f;1;1;Wed Jan 24 21:45:37 +0000 2018;@InesArrimadas a por el voto del Pp. Cuando todos sabemos que Ciudadanos es el PSOE disfrazado https://t.co/Rdf2z7umxl;956281862477025281;None;;552561770;;reply;3.0;2.0;0;0;0;0;0;0;374004166
58;6132;5a9c74640842190dbf51edb4;1;1;Fri Feb 16 14:08:18 +0000 2018;@gabrielrufian No jodas. Pues por mucho que te sumergieron a ti no te espabilaron nada. Sólo hicieron de ti un camisa parda más. https://t.co/dXu1vkoJux;964501694762700800;;;;;mention;3.0;1.0;0;0;0;0;0;0;875010501478162432
59;26138;5a9c74640842190dbf523bda;1;1;Mon Feb 12 19:07:14 +0000 2018;@abalosmeco @PSOE Ese nuevo reglamento me va a permitir darme de baja en el PSOE, y hacerme simpatizante , al final es lo mismo Y desde luego en las próximas autonómicas no votaré a susanita;963127374333337600;963121230873350144;;202372417.0;;reply;1.0;3.0;1;0;0;0;0;0;1520689392
60;14939;5a9934300842191684e61335;1;1;Thu Dec 21 19:09:28 +0000 2017;.@carolagudo: ”Page y Podemos deja sin relevancia a la cultura de CLM, repartiéndose sillones mientras recorta en museos, conservación del patrimonio y exposiciones”   #PageMiente https://t.co/F3a9KIjHIA;943921378000015365;;;;;mention;3.0;2.0;0;1;0;0;0;0;354781829
61;5944;5a9c74640842190dbf51ecf8;1;-1;Thu Feb 15 17:19:48 +0000 2018;@SofCastanon Si alguien a trabajado este planeta, durante todos los tiempos, han sido las mujeres. Tanto en casa como fuera, señores machistas;964187501584879616;;;;;mention;3.0;2.0;0;0;0;0;0;0;2996195248
62;7756;5a9934340842191684e88884;1;-1;Fri Feb 16 13:46:22 +0000 2018;@Pablo_Iglesias_ Tú no eres constitucionalista?. Pues entonces no te votaré;964496176706973696;;;;;mention;3.0;2.0;0;0;0;0;0;0;375324652
63;10924;5a9c74630842190dbf50dbdf;1;1;Thu Jan 18 22:15:59 +0000 2018;@sorayapsoe Si pasa por la zona palestina, siempre y cuando no la confundan con una perfida judia con lo que su vida correria grave peligro, le sugiero algo de lectura sobre el legado judio de HEbron https://t.co/eqIfYZuC9U que algunos quieren borrar lamentablemente;954115176130859013;953963107784757248;;380200858.0;;reply;3.0;4.0;0;1;0;0;0;0;1395621271
64;1910;5a9c74630842190dbf502b92;1;-1;Fri Jan 12 16:34:27 +0000 2018;@msanglas Ja estic tipa de la manera com ens tracten, em de fer quelcom, no podem continuar aguantant tot el que estàn fent, en quin estat vivim? deu ser el darrer en drets humans i democràcia;951854902099218433;;;;;mention;2.0;4.0;0;0;0;0;0;0;4755978389
66;72635;5a9934360842191684e95ca2;1;1;Sat Feb 24 12:40:32 +0000 2018;@DolorsMM @PPopular I a Catalunya teniu 4 diputats... Sou una minoria i no representeu ni defenseu el poble català...  Jo hi rumiaria cada dia abans d'anar a dormir...;967378710381891590;967352440680058880;;283559538.0;;reply;2.0;4.0;0;0;0;0;0;0;261149479
67;3368;5a9c74630842190dbf503144;1;1;Sun Jan 07 18:21:02 +0000 2018;@DavideManzaneda Mellor dito farenheit;950069781985681409;;;;;mention;4.0;2.0;0;0;0;0;0;0;229427044
68;22630;5a9934320842191684e710fa;1;1;Tue Jan 16 21:39:30 +0000 2018;@joanbaldovi en @laSextaTV #ElIntermedio;953381220934701056;None;;378944786;;reply;2.0;4.0;0;0;0;0;0;0;133860445
69;27815;5a9934340842191684e84bc1;1;1;Sun Feb 04 13:16:46 +0000 2018;@GuzmanGarmendia Buen día para tomar un vino 😉;960140070517989376;960138967982239745;;16113694.0;;reply;3.0;4.0;0;0;0;0;0;0;400871673
70;59810;5a9934360842191684e92a89;1;1;Fri Feb 23 13:28:57 +0000 2018;@junqueras @amnesty España que verguenza,poro no tienen verguenza no tienen modos,son unos falangistas unos dictadores unos ladrones y los politicos ala carcel una verguenza;967028505975324672;966584681859895298;;31416615.0;;reply;3.0;4.0;0;0;0;0;0;0;763387574496923649
72;13084;5a9934320842191684e6ebb0;1;1;Wed Jan 17 17:51:16 +0000 2018;@InesArrimadas @Albert_Rivera El discurs del nou president del parlament ha sigut inclusiu per a tots els catalans. Si no ho veus Arrimadas és que no hi toques;953686169346301953;953607639845531648;;552561770;;reply;4.0;1.0;0;0;0;0;0;0;923589754658140164
73;4379;5a9c74640842190dbf51e6db;1;-1;Mon Feb 12 09:04:07 +0000 2018;@ArturoAliaga_ El PAR siempre ha considerado injusto el #impuestodesucesiones. En todas nuestras coaliciones hemos intentado la reducción/eliminación de este impuesto, llegando a alcanzar hasta el 65%. con PSOE-CHA esto ha cambiado, elevando la presión fiscal.#Stopsucesiones https://t.co/dyEbuzuY9b;962975595842953216;;;;;mention;4.0;1.0;0;0;0;0;0;0;583693806
74;6769;5a9934340842191684e884a9;1;1;Tue Feb 13 17:28:57 +0000 2018;"💬@Lucia___M: ""Nos gustaría que esta propuesta sirviera para avanzar en el camino de la verdad. Ésa que el Gobierno lleva tantos años ocultando con su política antiterrorista"" https://t.co/SzZmiISUPZ";963465025825525761;;;;;mention;1.0;3.0;0;2;0;0;0;0;3906310100
75;60963;5a9934360842191684e92f0a;1;1;Sat Feb 24 14:43:20 +0000 2018;@albaverges @Esquerra_ERC Otra que delira, fuera populistas , fascistas , delincuentes, anti demócratas fuera! Peor que Franco y tienes la caradura de decir eso? Son xenófobos racistas o solidarios lameculos del 3 por ciento, seguimos?;967409613124636672;967110538252734466;;249255884.0;;reply;1.0;2.0;-1;0;0;0;0;0;884378473506246657
77;13153;5a9c74630842190dbf50577d;1;-1;Mon Jan 15 21:58:42 +0000 2018;@Noemi_delaCalle Que vayan dimitiendo algunos ya, no??? Rull y Turull por ejemplo. Es de vergüenza.....por fin se va haciendo algo de justicia.;953023663875477504;952954203932065792;;245392058;;reply;3.0;2.0;0;1;0;0;0;0;940728870470381568
78;5220;5a9934310842191684e6ccf8;1;1;Wed Jan 17 19:17:48 +0000 2018;@GirautaOficial Si hay una Ley que dice que para tener grupo propio hacen falta 5 diputados, no es aceptable que con pasteleo se viole esa Ley. Si no os parece justa, cámbienla.;953707946554396673;;;;;mention;1.0;3.0;0;1;0;0;0;0;524628673
79;5450;5a9c74630842190dbf503966;1;1;Tue Jan 16 18:18:02 +0000 2018;"@pbustinduy Sorprendido me quedo al comprobar que ahora los más defensores de Israel son los herederos del ""contubernio judeo-masónico"".";953330517776240640;;;;;mention;1.0;2.0;0;0;0;0;0;0;706815799105855488
80;7157;5a9c74640842190dbf51f1b5;1;-1;Thu Feb 15 15:45:59 +0000 2018;@J_Sanchez_Serna los interinos merecemos respeto.. Titulados,  con master,  idiomas,  experiencia docente algunos universitaria..  No al ERE;964163891713409024;;;;;mention;2.0;1.0;0;8;0;0;0;0;1209147518
81;150;5a9934340842191684e86ace;1;-1;Fri Feb 16 09:01:51 +0000 2018;Irene de Miguel @Irenirima habla sobre la mina de litio de #Valdeflores https://t.co/OTtGUJmWpi;964424574711443456;;;;;mention;2.0;3.0;0;0;0;0;0;0;204830493
82;60724;5a9c74640842190dbf5299a3;1;-1;Sat Feb 24 09:11:09 +0000 2018;@Pedromasenjo @rogertorrent Traduzco: Como miente Amnistía Internacional y los organismos citados por el president @rogertorrent, claro. El único político que puede hablar a criterio de algunos es aquel que tiene el poder de coacción del Estado. Esto todavía hace más digna la intervención de @rogertorrent;967326020461301760;967324965610639361;;14335904.0;;reply;1.0;2.0;-1;0;0;0;0;0;14335904
83;55543;5a9c74640842190dbf528566;1;1;Fri Feb 16 17:15:32 +0000 2018;@feliperedondom2 La hostia q nos vamos a pegar con tanto crecimiento como nos pasó con Ansar, toma nota Felipe Redondo, debes de hablar de desarrollo permanente acumulativo no inflacionario, q vas de señorito socialdemócrata, yo ya estoy acabado pa la política tengo 86;964548812961386497;964498938446393344;;487793584.0;;reply;2.0;4.0;1;0;0;0;0;0;2980858529
86;7459;5a9934310842191684e6d5b7;1;1;Mon Jan 15 21:04:22 +0000 2018;@susanadiaz @ppandaluz D.E.P.;953009992612884480;952989820179173376;;911000017;;reply;1.0;3.0;0;1;0;0;0;0;2198451453
87;18095;5a9934320842191684e6ff43;1;1;Sat Jan 13 00:38:07 +0000 2018;"@FerPablosRomo @UnionistasCF #HiloUnionista Mi historia de apoyo a @CFSalmantinoUDS es sencilla: fui socio 27 años de la #UDS; seguí la trayectoria de SUDS en provincial, regional y tercera; iré a ver el play-off; el ambiente (muy sano) me ilusionó y hoy soy socio, respetando a quienes apoyan a otros equipos";951976617101930496;951870714021163008;;249261500;;reply;3.0;2.0;0;0;0;0;0;0;196285883
88;10771;5a9c74640842190dbf5174b5;1;1;Thu Feb 08 16:48:25 +0000 2018;@joanbaldovi Compromís farieu be de recordar la història i recordar com el fexisme va aconseguir el poder i com la manca democràcia i llibertat va obrir les portes del infern. Seguim 155;961642889129463808;961304844438040577;;378944786.0;;reply;4.0;1.0;1;0;0;0;0;0;954255995009630208
89;14225;5a9934340842191684e816ab;1;-1;Thu Feb 08 18:09:44 +0000 2018;@Pablo_Iglesias_ Médica: Mujer del médico. 😕😕 #Mondieu;961663350722703360;961568192274583552;;158342368.0;;reply;3.0;1.0;1;0;0;0;0;0;863719296664563712
90;71389;5a9934360842191684e957c4;1;1;Sat Feb 24 15:38:37 +0000 2018;@Irene_Montero_  mira que opinan los trolls de @Ahorapodemos sobre nuestros mayores, deben de morir todos porque votan al PP.No cuentes más milongas. https://t.co/twWWzYmN6F;967423526079737856;None;;372812630.0;;reply;1.0;2.0;-1;40;0;0;0;0;198840449
91;12088;5a9934330842191684e774e3;1;1;Tue Jan 23 22:32:51 +0000 2018;@J_Sanchez_Serna Tete, hechar al PP de Murcia, y de toda España, coño!!😂😂😂😂;955931360572641281;955861091443204096;;300969753.0;;reply;3.0;4.0;0;0;0;0;0;0;1933244472
92;24274;5a9c74630842190dbf5082ee;1;-1;Tue Jan 09 20:34:55 +0000 2018;@rosaromerocr @PPopular Ahí te envío una receta mágica de gestión eficiente https://t.co/FQsBT5wQ11;950828250695131137;950631229631721474;;253968932;;reply;2.0;3.0;0;0;0;0;0;0;781594844561039361
93;13965;5a9934310842191684e67c8e;1;1;Fri Jan 05 10:25:33 +0000 2018;#ALCORCÓN, DIFERENCIAS GESTIÓN PP/PSOE:    14. Urbanismo    🔴 PSOE: Escándalos Emgiasa, Fuentecisneros, 53 millones € expropiaciones mal hechas, anulación judicial Plan    🔵 PP: Desbloqueo Parque El Lucero, motor económico y creación de empleo, transparencia orden en licencias;949225349531029505;949225347639332865;;6692562.0;;reply;2.0;4.0;1;18;0;0;0;0;6692562
94;6759;5a9934340842191684e8849f;1;1;Tue Feb 06 23:13:23 +0000 2018;@TeresaPalTous Ya lo estoy discutiendo con los jueces. De hecho, lo estoy discutiendo con la jefa de los jueces: Soraya!!! O es que piensas que nos tragamos la farsa de separación de poderes?;961014993310441472;;;;;mention;4.0;2.0;0;20;0;0;0;0;64019370
95;6318;5a9c74650842190dbf52f4e4;1;1;Fri Mar 02 22:24:54 +0000 2018;A deputada Yolanda Díaz defende a recuperación para o público das autoestradas de peaxe. @Yolanda_Diaz_ https://t.co/XKsZnOP3QS;969700100892168192;;;;;mention;3.0;4.0;0;1;0;0;0;0;289533200
